,City,Person,Number of Views,Description,link,latitude,longitude
10,Alipurduar,Dasrath Tirkey,16410,"Dasrath Tirkey was a member of the All India Trinamool Congress and won the 2014 Indian general elections from the Alipurduars (Lok Sabha constituency). In 2019, he lost the election.Three Left Front MLAs, Dasarath Tirkey and Ananta Deb Adhikari of RSP and Sunil Mandal of Forward Bloc joined All India Trinamool Congress in February 2014.While in RSP, Dasrath Tirkey was MLA for three consecutive terms in 2001, 2006 and 2011 elections, from Kumargram assembly seat. He was elected M.P. before he completed his last term as MLA.",https://en.wikipedia.org/wiki/Dasrath_Tirkey,26.4851573,89.5246926
11,Allahabad,Malini Agarwal,147558,"Malini Agarwal (born 26 May 1977), a.k.a. MissMalini, is an Indian digital influencer, TV host, entrepreneur and best-selling author. Formerly a DJ on Mumbai's Radio One (India) and Head of Digital Content for Channel V India, she founded her blog MissMalini.com in 2008, covering gossip and current events in Bollywood, Indian television, fashion, beauty and lifestyle. Aside from radio and her blog, she has also guest anchored several television shows, including CNN-IBN's Tech Toyz and UTV Bindass' Style Police, as well as two seasons of her own show MissMalini's World on TLC and Inside Access with MissMalini on vh1.",https://en.wikipedia.org/wiki/Malini_Agarwal,25.4381302,81.8338005
12,Aluva,Pearle Maaney,806370,"Pearle Maaney (born 28 May 1989) is an Indian video jockey, television presenter and actress from Kerala. She is known for hosting three seasons of the Malayalam dance reality show D 4 Dance on Mazhavil Manorama, co-hosted with Govind Padmasoorya and Adil Ibrahim. In 2018, she contested in and emerged as the runner-up of the first season of Bigg Boss reality show on Asianet.",https://en.wikipedia.org/wiki/Pearle_Maaney,10.17039815,76.38576237886784
13,Alwar,Sakshi Tanwar,2520079,"Sakshi Tanwar (born 12 January 1973) is an Indian actress and television presenter. She is known for her work in the television soaps Kahaani Ghar Ghar Kii and Bade Achhe Lagte Hain. In 2016, she starred in the Aamir Khan-starrer Dangal.",https://en.wikipedia.org/wiki/Sakshi_Tanwar,27.639077049999997,76.6144524902045
14,Ambarnath,Merwyn Fernandes,14315,"Mervyn Fernandis is a former Indian hockey player. Mervyn played for the famous Indian Airlines hockey team in the 1970s. His name become synonymous with Indian hockey. He was a consistent performer for the Indian team. Mervyn with his body-serve and excellent finish was an exceptional forward. He was part of the Indian hockey team that won the gold medal in 1980 Summer Olympics at Moscow. His father, Mr Joe Fernandes was the coach in P.M.M Inner wheel school (Ambernath)for a very long period of time before retiring few years ago due to old age.",https://en.wikipedia.org/wiki/Merwyn_Fernandes,19.1436074,73.2955345448486
15,Amravati,Gajanan Jagirdar,82387,"Gajanan Jagirdar (2 April 1907 – 13 August 1988) was a veteran Indian film director, screenwriter and actor. He worked in Hindi Cinema, also called Bollywood, as well as Marathi cinema. The period of 1942 to 1947, saw his rise as a film director with Prabhat Films.At the 1962 National Film Awards his film Vaijayanta was awarded the Second Best Marathi Feature Film.",https://en.wikipedia.org/wiki/Gajanan_Jagirdar,21.15454115,77.64429617998744
16,Amritsar,Jaswant Singh Khalra,94402,"Jaswant Singh Khalra (1952–1995) was a Sikh and human rights activist from Punjab, India. He garnered considerable global attention for his research concerning 25,000 illegal killings and cremations, involving Punjab police in Punjab and that the police had killed about 2,000 policemen not collaborating the operations.",https://en.wikipedia.org/wiki/Jaswant_Singh_Khalra,31.6343083,74.8736788
17,Anantnag,Ritesh Shah,125443,"Ritesh Shah is an Indian screenwriter. He has written the screenplay and dialogues for films like Kahaani (2012), Pink (2016), Airlift (2017) and Raid (2018). He won the Filmfare award, Star Screen Award and Zee Cine Award in the Best Dialogue category for Pink.",https://en.wikipedia.org/wiki/Ritesh_Shah,33.746109950000005,75.18544753143254
18,"Anantapur, Andhra Pradesh",Karthik Ghattamaneni,91923,"Karthik Ghattamaneni is an Indian cinematographer and director known for his works in Telugu cinema. He made his debut as a cinematographer with Prema Ishq Kaadhal in 2013, and has worked in several movies since his debut. He is also one of the key founders of Pondfreaks Entertainment, a short film production house.",https://en.wikipedia.org/wiki/Karthik_Ghattamaneni,14.6546235,77.55625984224562
19,Angamaly,Anjana Menon,58775,Anjana Menon is an Indian film actress who predominantly appears in Malayalam films. She made her debut in the 2011 Malayalam film Traffic.,https://en.wikipedia.org/wiki/Anjana_Menon,10.1910284,76.3874109
20,Araria,Mohammed Taslimuddin,61112,"Mohammed Taslimuddin (4 January 1943 – 17 September 2017) was an Indian politician and a veteran RJD leader. He hailed from the village of Sisauna in the Araria district of Bihar. He started his political career as a sarpanch and was elected to the Bihar Legislative Assembly for the first time in 1969, serving as an MLA eight times. In 1989, he was first elected to the Lok Sabha from the Purnia constituency. He was thrice elected as an MP from the Kishanganj constituency in 1996, 1998 and 2004. He served his final stint as an MP in the 16th Lok Sabha after being elected from the Araria constituency.He died on 17 September 2017 at the age of 74 after being treated for respiratory problems in Chennai,  he was laid to rest with state honours on 19 September 2017 at his birthplace located in sisauna jokihat,",https://en.wikipedia.org/wiki/Mohammed_Taslimuddin,26.26498795,87.37162648106798
21,Arrah,Sunil Pandey,52903,"Narendra kumar Pandey (known as Sunil Pandey) (born 5 May 1966) is an Indian politician of Bihar. 
He was first elected in 2000 in the Piro constituency for the Samta Party. He was re-elected three times. In the assembly election of 2005 February he won by a margin of 35679. Because of all the party failed to form government, President's rule was imposed in the State and after a few months Bihar's state assembly was dissolved, elections were held again in October month in which NDA came to power with Nitish Kumar as the Chief Minister and in the same year he went in JD(U) before election and lodged his victory again.Pandey was nominated as the Chairman of Agriculture and Industrial Development committee of Bihar. before the state assembly election of 2015 he resigned JD(U) on 25/9/2015 after completing his successful 4 elections. He later joined LJP as a spokesman.",https://en.wikipedia.org/wiki/Sunil_Pandey,25.62345725,84.59683868653386
22,Asansol,S. S. Ahluwalia,153667,"Surinderjeet Singh Ahluwalia (born 4 July 1951) is an Indian politician of the Bharatiya Janata Party (BJP) and is its National Vice President. 
A former Union Minister of State in the Government of India, he is the member of Parliament of India representing  Bardhaman-Durgapur Lok Sabha constituency in West Bengal in the 17th Lok Sabha (2019-2024). Previously he was a Member of Parliament representing Bihar and Jharkhand in the Rajya Sabha, the upper house of the Indian Parliament, over several terms, 1986–1992, 1992–1998 (as a member of Congress), and with BJP in 2000–2006, and 2006–2012. He subsequently entered the Lok Sabha,  winning the 2014 Lok Sabha Elections from Darjeeling.
He was earlier a member of the Indian National Congress. He was elected to the Rajya Sabha from Bihar in 1986 as a Congress member. Over the years of his career, he has held the posts of Minister for Urban Development, and Minister of Parliamentary Affairs in the Union Government headed by P. V. Narasimha Rao. He joined BJP in 1999. 
He was Deputy Leader of the Opposition in the Rajya Sabha till 2012 when he lost his Rajya Sabha seat in the Jharkhand Rajya Sabha elections. He is at present a Member of the National Executive Committee of the BJP.",https://en.wikipedia.org/wiki/S._S._Ahluwalia,23.6871297,86.9746587
23,Ashoknagar,Ladduram Kori,3027,"Ladduram Kori is an Indian politician from Ashoknagar district in Madhya Pradesh state of Republic of India. He is member of Madhya Pradesh Legislative Assembly during 2008-2013 and elected from Ashoknagar constituency. He is member of Bhartiya Janata Party. He is residence of Village Belsara Post Rahatha, District Umaria MP.",https://en.wikipedia.org/wiki/Ladduram_Kori,24.576189,77.7302895
24,"Aurangabad, Maharashtra",Farrukhsiyar,661067,"Abu'l Muzaffar Muin ud-din Muhammad Shah Farrukh-siyar Alim Akbar Sani Wala Shan Padshah-i-bahr-u-bar
(Persian:  ابو المظفر معید الدین محمد شاه فرخ‌ سیر علیم اکبر ثانی والا شان پادشاه بحر و بر‎), also known as Shahid-i-Mazlum (Persian: شهید مظلوم‎), or Farrukhsiyar (Persian:  فرخ‌ سیر‎)
(20 August 1685 – 19 April 1719), was the Mughal emperor from 1713 to 1719 after he murdered Jahandar Shah. Reportedly a handsome man who was easily swayed by his advisers, he lacked the ability, knowledge and character to rule independently. Farrukhsiyar was the son of Azim-ush-Shan (the second son of emperor Bahadur Shah I) and Sahiba Nizwan.
His reign saw the primacy of the Sayyid brothers, who became the effective power behind the facade of Mughal rule. Farrukhsiyar's frequent plotting led the brothers to depose him.",https://en.wikipedia.org/wiki/Farrukhsiyar,19.877263,75.3390241
25,Avadi,S. Abdul Rahim,7951,S. Abdul Rahim is an Indian politician who was a member of the 14th Tamil Nadu Legislative Assembly. He represented All India Anna Dravida Munnetra Kazhagam party from Avadi constituency.He held office as Minister for Backward Classes & Minority Welfare.The elections of 2016 resulted in his constituency being won by K. Pandiarajan.,https://en.wikipedia.org/wiki/S._Abdul_Rahim,13.1254758,80.09409
26,Ayodhya,Anushka Sharma,13256438,"Anushka Sharma (pronounced [əˈnʊʂkaː ˈʃərmaː]; born 1 May 1988) is an Indian actress and film producer who works in Hindi films. One of the most popular and highest-paid actresses in India, she has received several awards, including a Filmfare Award. She has appeared in Forbes India's Celebrity 100 since 2012 and was featured by Forbes Asia in their 30 Under 30 list of 2018.
Born in Ayodhya and raised in Bangalore, Sharma had her first modelling assignment for the fashion designer Wendell Rodricks in 2007 and later moved to Mumbai to pursue a full-time career as a model. She made her acting debut opposite Shah Rukh Khan in the highly successful romantic film Rab Ne Bana Di Jodi (2008) and rose to prominence with starring roles in Yash Raj Films' romances Band Baaja Baaraat (2010) and Jab Tak Hai Jaan (2012). For playing an aspiring filmmaker in the lattermost, she won the Filmfare Award for Best Supporting Actress. Sharma went on to earn praise for playing a woman troubled by criminals in the crime thriller NH10 (2015), a dancer in the comedy-drama Dil Dhadakne Do (2015), a free-spirited woman in the romantic drama Ae Dil Hai Mushkil (2016), and a struggling wife in the social drama Sui Dhaaga (2018). Her highest-grossing releases came with the sports drama Sultan (2016), and Rajkumar Hirani's religious satire PK (2014) and biopic Sanju (2018), all of which rank among the highest-grossing Indian films.
In addition to acting, Sharma is the ambassador for multiple brands and products and has designed her own line of clothing for women, named Nush. She supports various charities and causes, including gender equality and animal rights, and is the co-founder of the production company Clean Slate Films, under which she has produced three of her films, including NH10. Sharma is married to the cricketer Virat Kohli.",https://en.wikipedia.org/wiki/Anushka_Sharma,26.7990707,82.2052321
27,Balangir,Ananga Udaya Singh Deo,40584,"Ananga Udaya Singh Deo, also known as A U Singh Deo is a politician from Odisha, India. He is elected to the Rajya Sabha in 2014 from Odisha.He is a former Member of Odisha Legislative Assembly representing from Bolangir constituency. He is said to be a close friend of Odisha Chief Minister Naveen Patnaik as both were classmate in Doon School Dehradun. He was cabinet minister in Odisha Government with portfolios like PWD, Excise, Mines and others but last time in 2011 he had to step down as cabinet minister due to hooch tragedy in Cuttack . His son Kalikesh Singh Deo is a member of parliament of 16th Lok Sabha",https://en.wikipedia.org/wiki/Ananga_Udaya_Singh_Deo,20.75,83.25
28,Bangalore,Nikhil Chinapa,376461,"Nikhil Chinapa is an Indian DJ, host and festival curator, often credited with popularizing EDM music among the youth in India. He has been associated with MTV India since the late 1990s and has appeared in multiple television shows including Roadies and Splitsvilla
He had also hosted India's Got Talent 2 with Ayushmann Khurana. He has been instrumental in popularizing DJing as a profession and leading the music scene at the Sunburn Festival in its early years.",https://en.wikipedia.org/wiki/Nikhil_Chinapa,12.9791198,77.5912997
29,"Barabanki, Uttar Pradesh",Waris Ali Shah,258882,"Waris Ali Shah (1817-1905) was a Sufi saint from Dewa, Barabanki, India, and was the founder of the Warsi order of Sufism. He travelled widely in the west and admitted people to his spiritual order.  His shrine is situated at Dewa, India",https://en.wikipedia.org/wiki/Waris_Ali_Shah,26.93823105,81.38609761204991
30,Baramati,Supriya Sule,960006,"Supriya Sule (née Pawar) (born 30 June 1969) is an Indian politician from the Nationalist Congress Party and currently a Member of Parliament (MP) in  15th,16th and 17th Lok Sabha representing Baramati.
In 2011, she launched a statewide campaign against female foeticide. Recently, she has been honored with Mumbai Women of the Decade Achievers Award by ALL Ladies League for her outstanding contribution to social service.",https://en.wikipedia.org/wiki/Supriya_Sule,18.21985375,74.45340540036307
31,Baramulla,Muzaffar Hussain Baig,46916,Muzaffar Hussain Baig is an Indian politician. He was deputy chief minister of the Indian state of Jammu and Kashmir (J&K). On Republic Day of 2020 he received India's third highest civilian honour Padma Bhushan.,https://en.wikipedia.org/wiki/Muzaffar_Hussain_Baig,34.205005650000004,74.36221081111597
32,Baranagar,Jeet Gannguli,912322,"Jeet Gannguli (pronounced [dʒit ɡaŋɡuli], Bengali: pronunciation , born Chandrajeet Ganguly, on 24 May 1977), popularly known as Jeet, is a score composer of Bengali and Hindi movies. Gannguli is a music director in Bollywood, scoring music for films.",https://en.wikipedia.org/wiki/Jeet_Gannguli,22.65356515,88.37921686012965
33,Barasat,Kakoli Ghosh Dastidar,69816,"Kakoli Ghosh Dastidar (born 23 November 1959) is an Indian physician and politician from West Bengal. She is Chairperson of Banga Janani Bahini, a women's wing of All India Trinamool Congress. She is a member of 15th, 16th and 17th Lok Sabha, re-elected in 2014 Indian general election and 2019. She is a Panel Chairperson of 17th Lok Sabha.

",https://en.wikipedia.org/wiki/Kakoli_Ghosh_Dastidar,22.7176238,88.4889529
34,Bardhaman,Subhashree Ganguly,352341,"Subhashree Ganguly is an Indian actress and model, who works in Bengali cinema. One of the leading & most populer actress in Tollywood. She forayed into showbiz by becoming the winner of Fairever Anandalok Nayikar Khonje in 2006. She made her acting debut in 2008 with the comedy drama film Mate Ta Love Helare and subsequently made her debut in Bengali films with Pitribhumi, in which she played a supporting role.

",https://en.wikipedia.org/wiki/Subhashree_Ganguly,23.244051,87.8689422
35,Bareilly,Priyanka Chopra,35243477,"Priyanka Chopra Jonas (pronounced [prɪˈjəŋkaː ˈtʃoːpɽaː]; born 18 July 1982) is an Indian actress and singer. She was the winner of the Miss World 2000 pageant, and is one of India's highest-paid and most popular entertainers. Chopra has received numerous accolades, including a National Film Award and five Filmfare Awards. In 2016, the Government of India honoured her with the Padma Shri and Time named her one of the 100 most influential people in the world, and in the next two years Forbes listed her among the World's 100 Most Powerful Women.
Although Chopra initially aspired to study aeronautical engineering, she accepted offers to join the Indian film industry, which came as a result of her pageant wins, making her Bollywood debut in The Hero: Love Story of a Spy (2003). She played the leading lady in the box-office hits Andaaz (2003) and Mujhse Shaadi Karogi (2004) and received critical acclaim for her breakout role in the 2004 thriller Aitraaz. Chopra established herself with starring roles in the top-grossing productions Krrish and Don (both 2006), and she later reprised her role in their sequels.
Following a brief setback, she garnered success in 2008 for playing a troubled model in the drama Fashion, which won her the National Film Award for Best Actress, and a glamorous journalist in Dostana. Chopra gained wider recognition for portraying a range of characters in the films Kaminey (2009), 7 Khoon Maaf (2011), Barfi! (2012), Mary Kom (2014), and Bajirao Mastani (2015). From 2015 to 2018, she starred as Alex Parrish in the ABC thriller series Quantico. Chopra has since played supporting roles in the Hollywood comedies Baywatch (2017) and Isn't It Romantic (2019), and returned to Hindi cinema with a leading role in the biopic The Sky Is Pink (2019).
Chopra also promotes social causes such as environment and women's rights, and is vocal about gender equality, the gender pay gap, and feminism.  She has worked with UNICEF since 2006 and was appointed as the national and global UNICEF Goodwill Ambassador for child rights in 2010 and 2016, respectively. Her namesake foundation for health and education works towards providing support to unprivileged Indian children. As a recording artist, Chopra has released three singles and provided vocals for a number of her film songs. She is also the founder of the production company Purple Pebble Pictures, under which she has produced several regional Indians films, including the acclaimed Marathi film Ventilator (2016). Despite maintaining privacy, Chopra's off-screen life, including her marriage to American singer and actor Nick Jonas, is the subject of substantial media coverage.",https://en.wikipedia.org/wiki/Priyanka_Chopra,28.457876,79.40557093743058
36,"Barmer, Rajasthan",Kamlesh Nagarkoti,271694,"Kamlesh Nagarkoti (born 28 December 1999) is an Indian cricketer. He made his List A debut for Rajasthan in the 2016–17 Vijay Hazare Trophy on 26 February 2017. Two days later, he took the first-ever hat-trick for Rajasthan in List A cricket, in the Vijay Hazare Trophy match against Gujarat.Nagarkoti's father was a subedar in the Indian Army. He utilized his retirement corpus to buy a one-bedroom apartment in Jaipur so his son could learn to play cricket. Nagarkoti's childhood coach was Surendra Singh Rathod.In December 2017, he was named in India's squad for the 2018 Under-19 Cricket World Cup. In January 2018, he was bought by the Kolkata Knight Riders in the 2018 IPL auction for ₹3.2 crores.. However, he did not play a match due to injury concerns. Despite that, he was retained for the next season. Just ahead of the 2019 Indian Premier League he was again ruled out of the tournament due to back injury.In November 2019, he was named in India's squad for the 2019 ACC Emerging Teams Asia Cup in Bangladesh.",https://en.wikipedia.org/wiki/Kamlesh_Nagarkoti,25.5819034,71.61966242777196
37,Barnala,Surjit Singh Barnala,226570,"Surjit Singh Barnala (21 October 1925 – 14 January 2017) was an Indian politician who served as the chief minister of Punjab state from 1985 to 1987. Following that he served as the governor of Tamil Nadu, Uttarakhand, Andhra Pradesh and Andaman and Nicobar Islands and a Union Minister on handling various portfolios.",https://en.wikipedia.org/wiki/Surjit_Singh_Barnala,30.3704685,75.504017418548
38,Barpeta,Kalpana Patowary,330016,"Kalpana Patowary is an Indian playback and folk singer from Assam. She sings in 30 languages.She participated in the reality show Junoon - Kuchh Kar Dikhaane Ka (2008) on NDTV Imagine. Although she has many folk and popular songs to her credit, Bhojpuri music has been her most dedicated foray.",https://en.wikipedia.org/wiki/Kalpana_Patowary,26.34142215,91.01674328474073
39,Basirhat,Samik Bhattacharya,25551,Samik Bhattacharya is an Indian politician and member of the Bharatiya Janata Party. He is spokesperson of BJP's West Bengal state unit and a very well known face in Bengali media. Bhattacharya was a member of the West Bengal Legislative Assembly from the Basirhat Dakshin constituency in North 24 Parganas district.,https://en.wikipedia.org/wiki/Samik_Bhattacharya,22.6611962,88.8660215
40,Bathinda,Mehreen Pirzada,2478731,"Mehreen Kaur Pirzada (born 5 November 1993) is an Indian model and actress who appears predominantly in Telugu-language films. Pirzada made her debut in 2016 with the Telugu film Krishna Gaadi Veera Prema Gaadha. in which she was paired opposite Nani. Mehreen made her Bollywood debut with Phillauri in 2017, and her Kollywood debut with Nenjil Thunivirundhal opposite Sundeep Kishan and directed by Suseenthiran in 2017.",https://en.wikipedia.org/wiki/Mehreen_Pirzada,30.17911535,75.04710156312628
41,Begusarai,Balmiki Prasad Singh,43745,"Balmiki Prasad Singh  (born 1 January 1942) was the 14th Governor of Sikkim, India. He is an author, thinker and a retired IAS officer. He has written number of books and articles relating to Indian culture, in particular the culture of North-East India. Among his prominent books are Bahudha and the post 9/11 World and The problem of change: a study of North East India. He presided over the four-day Global Buddhist Conference in 2011 to mark the 2,600th year of Buddha's enlightenment. Around 1,000 Buddhist scholars, thinkers and followers from over 30 countries were present. B.P. Singh is also the principal architect of the Bahudha Approach, which outlines a path towards a harmonious world, as against the clash of civilizations.
Singh writes: 

Pluralism could be the closest equivalent to Bahudha in the English language. But Bahudha is more than pluralism. For, the Bahudha approach is both a celebration of diversity and an attitude of mind that respects another person's point of view. Dialogue is central to this approach.",https://en.wikipedia.org/wiki/Balmiki_Prasad_Singh,25.5127194,86.09057109140021
42,Belgaum,Raai Laxmi,2023889,"Lakshmi Rai (born on 5 May 1989), professionally credited as Raai Laxmi is an Indian film actress and model born in Belgaum who predominantly appears in Tamil and Malayalam as well as Telugu and Kannada films. She made her Bollywood debut with the film Julie 2 (2017).Raai has completed over 14 years in the film industry, acting in over 50 films in several languages.",https://en.wikipedia.org/wiki/Raai_Laxmi,15.8572666,74.5069343
